BKG_KEY,POP00_SQMI,MED_AGE,AVE_HH_SZ,AVE_FAM_SZ,MED_HH_INC,P_OWNOCC,P_RENTOCC,P_OCC,P_VAC,P_SFDH,P_TH,P_MFU,P_MARRIED,MED_ROOMS,MED_VAL_AL,P_HS_,P_WH,P_BLK,P_PROTLAND,D2DOWN,D2RAMP,D2PROT,CANMEAN2,YRSOLD,X,Y
245101902003,18900.90000000000,31.90000000000,2.86000000000,3.34000000000,28426.00000000000,0.48700000000,0.51400000000,0.68500000000,0.31500000000,0.07600000000,0.92000000000,0.00000000000,0.37800000000,6.00000000000,31700.00000000000,0.47000000000,0.65000000000,0.28000000000,0.15000000000,1628,1152,94,0.01579000000,64,-76.64015983450,39.28297555110
245101903003,30625.30000000000,29.10000000000,3.11000000000,3.46000000000,29271.00000000000,0.45900000000,0.54100000000,0.62500000000,0.37500000000,0.00000000000,1.00000000000,0.00000000000,0.22900000000,6.00000000000,17400.00000000000,0.35000000000,0.35000000000,0.57000000000,0.00000000000,1918,1027,315,0.00000000000,60,-76.64435482980,39.28381854400
245100101001,26880.20000000000,38.40000000000,1.95000000000,2.81000000000,31563.00000000000,0.66300000000,0.33700000000,0.90000000000,0.10000000000,0.02200000000,0.85000000000,0.13000000000,0.30400000000,6.00000000000,78700.00000000000,0.64000000000,0.92000000000,0.05000000000,0.00000000000,2664,1704,400,0.00000000000,64,-76.57414246170,39.28333356290
245102003003,33267.70000000000,27.60000000000,2.95000000000,3.61000000000,17813.00000000000,0.40700000000,0.59300000000,0.77800000000,0.22200000000,0.03700000000,0.68000000000,0.28000000000,0.15300000000,6.00000000000,20800.00000000000,0.38000000000,0.44000000000,0.50000000000,0.00000000000,2239,1044,452,0.00000000000,60,-76.64834836530,39.28352235080
245102611003,24378.60000000000,36.40000000000,2.04000000000,2.97000000000,24464.00000000000,0.73400000000,0.26600000000,0.85900000000,0.14100000000,0.00000000000,0.89000000000,0.11000000000,0.25400000000,5.00000000000,68900.00000000000,0.63000000000,0.99000000000,0.00000000000,0.00000000000,3031,1338,435,0.00000000000,64,-76.56996859970,39.28247237780
245101903004,12366.90000000000,31.70000000000,2.84000000000,3.24000000000,20625.00000000000,0.47500000000,0.52500000000,0.80200000000,0.19800000000,0.09000000000,0.89000000000,0.02000000000,0.11300000000,6.00000000000,22300.00000000000,0.43000000000,0.59000000000,0.39000000000,0.19000000000,2026,1243,130,0.01972000000,64,-76.64422204850,39.28149525170
245100104001,15488.80000000000,34.30000000000,1.85000000000,2.63000000000,40353.00000000000,0.55000000000,0.45000000000,0.89600000000,0.10400000000,0.04000000000,0.82000000000,0.14000000000,0.26100000000,5.00000000000,94300.00000000000,0.73000000000,0.84000000000,0.01000000000,0.01000000000,2284,2122,214,0.00000000000,64,-76.57913175140,39.28150732990
245102003004,26428.60000000000,29.40000000000,3.01000000000,3.47000000000,21528.00000000000,0.30300000000,0.69700000000,0.78500000000,0.21500000000,0.05700000000,0.79000000000,0.15000000000,0.35200000000,6.00000000000,23500.00000000000,0.43000000000,0.46000000000,0.48000000000,0.00000000000,2306,1279,233,0.00000000000,59,-76.64776152810,39.28135575970
245102101002,30705.00000000000,33.20000000000,2.73000000000,3.25000000000,22500.00000000000,0.54400000000,0.45600000000,0.72200000000,0.27800000000,0.00000000000,0.94000000000,0.06000000000,0.14500000000,6.00000000000,52500.00000000000,0.61000000000,0.10000000000,0.85000000000,0.00000000000,895,376,385,0.00000000000,64,-76.62917430870,39.28199590680
245102102002,2000.00000000000,31.10000000000,2.83000000000,3.39000000000,19136.00000000000,0.61300000000,0.38700000000,0.74200000000,0.25800000000,0.04800000000,0.93000000000,0.02000000000,0.25800000000,6.00000000000,35900.00000000000,0.58000000000,0.50000000000,0.43000000000,0.33000000000,2245,771,226,0.02830000000,64,-76.64167847780,39.27531421630
245102609003,7157.90000000000,39.10000000000,2.19000000000,2.87000000000,40804.00000000000,0.80500000000,0.19500000000,0.85200000000,0.14800000000,0.10100000000,0.84000000000,0.06000000000,0.34500000000,6.00000000000,68400.00000000000,0.71000000000,0.98000000000,0.00000000000,0.00000000000,3436,967,438,0.00209000000,64,-76.56585541510,39.28046884870
245100101002,20071.50000000000,35.80000000000,1.79000000000,2.62000000000,39167.00000000000,0.71600000000,0.28400000000,0.85500000000,0.14500000000,0.00000000000,0.83000000000,0.17000000000,0.26200000000,5.00000000000,94500.00000000000,0.72000000000,0.94000000000,0.00000000000,0.00000000000,2723,1672,304,0.00008000000,64,-76.57392584420,39.28132052790
245102005003,27676.20000000000,31.60000000000,2.90000000000,3.34000000000,17708.00000000000,0.40900000000,0.59100000000,0.81200000000,0.18800000000,0.22600000000,0.65000000000,0.12000000000,0.24400000000,6.00000000000,28000.00000000000,0.33000000000,0.46000000000,0.54000000000,0.00000000000,2544,1319,177,0.00000000000,64,-76.65061562380,39.28106062370
245102005005,22757.50000000000,36.40000000000,2.42000000000,3.32000000000,13281.00000000000,0.30700000000,0.69300000000,0.90600000000,0.09500000000,0.07400000000,0.56000000000,0.36000000000,0.19300000000,6.00000000000,32900.00000000000,0.52000000000,0.54000000000,0.38000000000,0.02000000000,3167,1497,190,0.01696000000,56,-76.65800954800,39.28004801770
245102008001,4063.00000000000,31.50000000000,2.73000000000,3.38000000000,29688.00000000000,0.50900000000,0.49100000000,0.91100000000,0.08900000000,0.22700000000,0.37000000000,0.41000000000,0.30900000000,6.00000000000,61700.00000000000,0.73000000000,0.21000000000,0.68000000000,0.11000000000,4855,1345,320,0.09640000000,64,-76.67810030740,39.27880247800
